,degree,betweenness,eigenvector
IWM,0.6262626262626263,0.047825190682333533,0.22766289622623195
TNA,0.6262626262626263,0.03463203463203463,0.22674582341374896
SPY,0.5151515151515152,0.027829313543599257,0.21678151518031127
QQQ,0.48484848484848486,0.018552875695732836,0.2166568348446608
TQQQ,0.48484848484848486,0.0070088641517212944,0.2166268382941261
SOXL,0.494949494949495,0.027829313543599257,0.21120827562628036
EFA,0.4747474747474748,0.03153988868274583,0.19285205578161013
ARKK,0.4646464646464647,0.005772005772005772,0.18561828717701806
IEMG,0.4747474747474748,0.005359719645433931,0.1832571171526993
EEM,0.4646464646464647,0.020820449391877962,0.17834180236562158
NVDA,0.33333333333333337,0.0010307153164296021,0.16433690986592503
MU,0.36363636363636365,0.011544011544011544,0.156019626333744
PLTR,0.4141414141414142,0.02865388579674294,0.15393440733886615
AMD,0.32323232323232326,0.0020614306328592042,0.1517821685950275
XLF,0.43434343434343436,0.05689548546691404,0.14880457046845016
MSFT,0.30303030303030304,0.002473716759431045,0.14724799082214682
HYG,0.32323232323232326,0.03751803751803751,0.14431097995233078
GOOG,0.2828282828282829,0.00020614306328592042,0.14378364199214883
GOOGL,0.2828282828282829,0.002886002886002886,0.14371121411103763
AAPL,0.2828282828282829,0.0006184291898577612,0.14113474076943705
UBER,0.3535353535353536,0.007627293341579055,0.1404615447183703
TSM,0.30303030303030304,0.004741290455576169,0.13907217119155327
MARA,0.32323232323232326,0.013605442176870748,0.13586807492204367
NCLH,0.33333333333333337,0.020820449391877962,0.1316629275562097
NIO,0.32323232323232326,0.004741290455576169,0.13023111177360927
RIOT,0.31313131313131315,0.007421150278293135,0.12997873746686778
DKNG,0.36363636363636365,0.03916718202432488,0.1282127125288043
AMZN,0.27272727272727276,0.0010307153164296021,0.12561471267104898
TSLA,0.30303030303030304,0.006390434961863533,0.12559762781279254
INTC,0.26262626262626265,0.0016491445062873633,0.12022252287679248
CCL,0.29292929292929293,0.002473716759431045,0.1191021154866598
KRE,0.29292929292929293,0.0016491445062873633,0.11255657165875833
AAL,0.2828282828282829,0.009688723974438259,0.11199692713076151
XPEV,0.25252525252525254,0.0008245722531436817,0.1036271719381407
GM,0.24242424242424243,0.00020614306328592042,0.10047828866925376
BAC,0.26262626262626265,0.0035044320758606472,0.1000508329664949
F,0.23232323232323235,0.0026798598227169654,0.09339373546225854
HBAN,0.23232323232323235,0.0020614306328592042,0.09202888689181235
PYPL,0.19191919191919193,0.0006184291898577612,0.0906287710650739
OPEN,0.21212121212121213,0.0012368583797155224,0.08750915654633411
NOK,0.18181818181818182,0.0006184291898577612,0.0852889548225868
KEY,0.22222222222222224,0.0018552875695732837,0.08421717691602514
FCX,0.30303030303030304,0.07854050711193568,0.08067670382792005
C,0.24242424242424243,0.004741290455576169,0.08062894128091858
WFC,0.18181818181818182,0.0,0.07503512600739123
FCEL,0.18181818181818182,0.00020614306328592042,0.07391213108121403
SOFI,0.18181818181818182,0.008864151721294579,0.07077774347405118
M,0.15151515151515152,0.0016491445062873633,0.060658324099665664
KWEB,0.13131313131313133,0.00020614306328592042,0.06055906688396029
HPE,0.17171717171717174,0.002473716759431045,0.059555312319581576
DNA,0.13131313131313133,0.0022675736961451248,0.0540407448205985
TLRY,0.12121212121212122,0.0012368583797155224,0.04792508585035609
FXI,0.09090909090909091,0.0,0.04289677289520285
CSCO,0.11111111111111112,0.005978148835291692,0.04188360385440679
BABA,0.09090909090909091,0.0,0.0390023406578222
EWZ,0.12121212121212122,0.00041228612657184083,0.03599660893831443
LYFT,0.08080808080808081,0.0,0.0358640767214675
XLE,0.19191919191919193,0.00020614306328592042,0.035029519689991
KMI,0.20202020202020204,0.0037105751391465673,0.03448797983452428
MRO,0.17171717171717174,0.007215007215007215,0.029793084816002756
SNAP,0.06060606060606061,0.0,0.027738292679025334
LCID,0.06060606060606061,0.0,0.025148775683557712
ET,0.14141414141414144,0.003092145949288806,0.024470254315925692
CLF,0.05050505050505051,0.0,0.022427365009207185
CSX,0.05050505050505051,0.0016491445062873633,0.020944865392348848
CMCSA,0.05050505050505051,0.016697588126159554,0.019810358901636786
XLP,0.08080808080808081,0.018965161822304677,0.017582507369954314
SWN,0.11111111111111112,0.004741290455576169,0.017469536929936896
ABEV,0.05050505050505051,0.0010307153164296021,0.017110513867356774
SLB,0.13131313131313133,0.0012368583797155224,0.014734079240374053
HOOD,0.030303030303030304,0.0,0.010838095591484116
KO,0.05050505050505051,0.013605442176870748,0.010612645007052885
SIRI,0.020202020202020204,0.0,0.010582365668606585
