,hier_cluster,graph_cluster,HSICMG
AAL,2,4,45.0
AAPL,2,6,35.0
ABEV,1,11,20.0
AMC,2,1,78.0
AMD,2,6,36.0
AMZN,2,6,73.0
ARKK,2,6,67.0
BABA,2,6,67.0
BAC,2,4,60.0
BMY,3,2,28.0
C,2,4,60.0
CCL,2,4,44.0
CLF,1,4,10.0
CMCSA,4,4,48.0
CSCO,4,6,36.0
CSX,4,6,40.0
DKNG,2,6,99.0
DNA,2,6,67.0
EEM,2,6,67.0
EFA,2,4,67.0
ET,1,11,51.0
EWZ,1,11,67.0
F,2,4,37.0
FCEL,2,6,36.0
FCX,1,11,10.0
FXI,2,6,67.0
GDX,1,3,67.0
GM,2,4,37.0
GOLD,1,3,10.0
GOOG,2,6,73.0
GOOGL,2,6,73.0
HBAN,2,4,60.0
HOOD,2,6,99.0
HPE,2,4,73.0
HYG,2,6,67.0
IEMG,2,6,67.0
INTC,2,6,36.0
IWM,2,4,67.0
KEY,2,4,60.0
KGC,1,3,10.0
KMI,1,11,49.0
KO,4,12,20.0
KRE,2,4,67.0
KWEB,2,6,67.0
LCID,2,6,67.0
LQD,5,10,67.0
LUMN,4,5,48.0
LYFT,2,4,99.0
M,2,4,53.0
MARA,2,6,99.0
MRO,1,11,13.0
MSFT,2,6,73.0
MU,2,6,36.0
NCLH,2,4,67.0
NIO,2,6,67.0
NOK,2,6,48.0
NVDA,2,6,36.0
OPEN,2,6,67.0
OXY,1,11,13.0
PBR,1,11,13.0
PCG,2,7,49.0
PFE,3,8,28.0
PLTR,2,6,73.0
PSQ,6,9,67.0
PTON,2,6,99.0
PYPL,2,6,99.0
QQQ,2,6,67.0
RIG,1,11,13.0
RIOT,2,6,28.0
SH,6,9,67.0
SIRI,4,4,48.0
SLB,1,11,56.0
SLV,1,3,67.0
SNAP,2,6,73.0
SOFI,2,6,67.0
SOXL,2,6,67.0
SOXS,6,9,67.0
SPXU,6,9,67.0
SPY,2,6,67.0
SQQQ,6,9,67.0
SWN,1,11,13.0
T,4,12,48.0
TLRY,2,6,99.0
TLT,5,10,67.0
TNA,2,4,67.0
TQQQ,2,6,67.0
TSLA,2,6,99.0
TSM,2,6,36.0
TZA,6,9,67.0
UBER,2,6,73.0
UVXY,6,9,67.0
VALE,1,11,49.0
VZ,4,12,48.0
WFC,2,4,60.0
XLE,1,11,67.0
XLF,2,4,67.0
XLP,4,12,67.0
XLU,4,12,67.0
XOM,1,11,13.0
XPEV,2,6,37.0
