ticker	siccd
A	3825
AA	3355
AAA	6726
AAC	6799
AACG	8200
AAIC	6162
AAL	4512
AAM	6799
AAMC	6211
AAN	7359
AAOI	9999
AAON	3580
AAP	5531
AAPB	6726
AAPL	3571
AAPU	6726
AAT	6798
AAXJ	6726
AAXN	3480
AB	6719
ABAT	9999
ABB	3613
ABBV	2834
ABC	5122
ABCB	6020
ABCL	9999
ABEO	2834
ABEV	2082
ABG	5511
ABIO	2830
ABM	7349
ABMD	3840
ABNB	9999
ABP	9999
ABR	6798
ABT	2834
ABUS	9999
ABVX	9999
AC	6799
ACA	3523
ACAB	9999
ACAD	2834
ACB	2833
ACC	6798
ACCO	5112
ACDC	9999
ACEL	7929
ACGL	6331
ACH	3334
ACHC	9999
ACHR	3721
ACI	5912
ACIC	6799
ACIO	6726
ACIW	7372
ACLS	3559
ACLX	9999
ACM	8711
ACMR	9999
ACN	8742
ACNT	3440
ACP	6722
ACR	6798
ACRE	6798
ACRS	9999
ACT	9999
ACTV	6726
ACV	6726
ACVA	9999
ACWI	6726
ACWX	6726
ADBE	7372
ADC	6798
ADD	1700
ADEA	3674
ADF	6799
ADI	3674
ADM	2046
ADMA	8731
ADNT	3714
ADP	7374
ADPT	9999
ADS	7323
ADSK	7370
ADT	7382
ADTN	3660
ADUS	9999
ADV	9999
ADX	6722
AEE	4911
AEF	6722
AEG	6311
AEHR	3825
AEI	9999
AEIS	3670
AEL	6311
AEM	1041
AENZ	8711
AEO	5611
AEP	4911
AER	7359
AES	4911
AESI	1481
AEVA	6799
AFB	6722
AFG	6331
AFI	1752
AFL	6321
AFRM	9999
AFT	6722
AG	1044
AGBA	9999
AGC	9999
AGCB	6799
AGCO	3523
AGD	6722
AGE	2834
AGFS	9999
AGG	6726
AGI	1041
AGIO	9999
AGL	6324
AGLE	9999
AGM	6111
AGNC	9999
AGO	6351
AGR	4911
AGRO	6719
AGS	971
AGX	4813
AGYS	5060
AHC	2711
AHCO	9999
AHG	9999
AHH	6512
AHI	9999
AHPA	9999
AHR	6798
AHT	6798
AI	7372
AIB	9999
AIF	6726
AIG	6331
AILE	9999
AIN	2221
AINV	6211
AIO	6722
AIOT	7389
AIP	9999
AIPI	6726
AIQ	6726
AIR	3724
AIRR	6726
AIT	5085
AIU	6799
AIV	6798
AIVI	6726
AIVL	6726
AIZ	6411
AJG	6411
AJRD	3812
AJX	6798
AKAM	7372
AKO	2086
AKR	6798
AKRO	9999
AL	7359
ALAB	9999
ALB	2821
ALC	6722
ALCC	6799
ALDX	9999
ALE	4931
ALEX	6798
ALG	3523
ALGM	9999
ALGN	3843
ALGT	4512
ALHC	9999
ALK	4512
ALKS	8730
ALKT	9999
ALL	6331
ALLE	7382
ALLY	6022
ALMS	9999
ALNY	2834
ALR	8051
ALRM	9999
ALSN	5065
ALT	2834
ALTA	9999
ALTG	7389
ALTM	9999
ALV	3714
ALX	6798
ALXN	2830
AM	4922
AMAL	9999
AMAT	3550
AMAX	6726
AMBA	9999
AMBO	8299
AMBP	3411
AMC	7832
AMCR	7389
AMD	3674
AMDL	6726
AME	3823
AMEH	9999
AMG	6282
AMGN	2830
AMH	6798
AMID	6726
AMK	6282
AMKR	3674
AMLX	9999
AMN	7361
AMOV	6719
AMP	6282
AMPH	9999
AMPL	9999
AMPX	3694
AMPY	1311
AMR	1221
AMRC	8711
AMRX	5122
AMSC	3670
AMSF	6331
AMT	6798
AMTB	9999
AMTD	7389
AMTM	7389
AMWD	2430
AMX	6719
AMZD	6726
AMZN	7370
AMZU	6726
AN	5511
ANAB	9999
ANDE	5150
ANET	3577
ANF	5651
ANGI	9999
ANGL	6726
ANGO	3841
ANH	6798
ANIP	2836
ANL	9999
ANNX	9999
ANSS	7370
ANTM	6321
AOD	6726
AON	6411
AOR	6726
AORT	3841
AOS	3639
AP	3312
APA	1311
APAM	6282
APD	2842
APG	6211
APGE	9999
APH	3678
APHA	6799
APLD	3812
APLE	6798
APLS	9999
APM	9999
APN	6799
APO	6282
APOG	3230
APP	9999
APPF	9999
APPN	9999
APPS	7372
APR	9999
APRN	5961
APTS	6798
APTV	3714
APWC	3357
APXT	9999
AQN	4911
AQST	9999
AQUA	3589
AR	1311
ARA	8092
ARB	6726
ARC	7334
ARCB	4213
ARCC	6798
ARCH	1221
ARCO	8322
ARCT	9999
ARD	6799
ARDC	6722
ARDT	8069
ARDX	2834
ARE	6531
ARES	6282
ARGO	6719
ARGT	6726
ARGX	9999
ARHS	9999
ARI	6798
ARKG	6726
ARKK	6726
ARKO	9999
ARKQ	6726
ARKW	6726
ARL	6531
ARLO	3651
ARLP	1220
ARM	9999
ARMK	5812
ARNC	3355
AROC	7359
AROW	6020
ARP	6726
ARQQ	9999
ARQT	9999
ARR	6798
ARRW	9999
ARRY	9999
ARVN	9999
ARW	5045
ARWR	8731
AS	2211
ASA	6722
ASAN	7379
ASB	6022
ASC	4789
ASEA	6726
ASG	6722
ASGN	7361
ASH	5169
ASHR	6726
ASIX	2821
ASML	3559
ASND	9999
ASO	9999
ASPI	9999
ASPN	2899
ASPU	9999
ASR	4581
ASST	9999
ASTE	3510
ASTH	9999
ASTI	3674
ASTS	9999
ASUR	3663
ASX	3674
ASYS	3670
AT	4931
ATAC	6799
ATAI	9999
ATAT	Z
ATAX	6726
ATCO	4412
ATEC	3841
ATEN	7373
ATEX	9999
ATGE	8221
ATH	6311
ATHM	7374
ATI	3317
ATKR	3441
ATLC	6141
ATMU	3714
ATO	4924
ATR	3089
ATRC	3841
ATRO	2650
